LAT,LON,YEAR,MO,DY,PRECTOT,T2M,T2M_MIN,T2M_MAX,WS10M
38.89681,-77.02329,2020,01,01,    0.00,    2.61,   -1.17,    8.47,    3.49
38.89681,-77.02329,2020,01,02,    0.09,    3.58,   -2.11,    9.11,    2.64
38.89681,-77.02329,2020,01,03,    6.17,    9.16,    6.06,   14.16,    2.68
38.89681,-77.02329,2020,01,04,    8.13,   10.19,    5.25,   15.72,    3.43
38.89681,-77.02329,2020,01,05,    0.06,    2.70,   -0.99,    5.65,    4.94
38.89681,-77.02329,2020,01,06,    0.10,    2.22,   -1.96,    9.79,    3.52
38.89681,-77.02329,2020,01,07,    8.13,    0.23,   -3.28,    4.10,    2.69
38.89681,-77.02329,2020,01,08,    0.03,    0.11,   -4.37,    6.22,    4.90
38.89681,-77.02329,2020,01,09,    0.00,   -1.39,   -5.02,    3.22,    2.70
38.89681,-77.02329,2020,01,10,    0.01,    4.26,   -0.84,    9.40,    3.14
38.89681,-77.02329,2020,01,11,    0.66,   14.04,    7.84,   18.94,    5.88
38.89681,-77.02329,2020,01,12,    9.22,   13.87,    5.85,   19.17,    4.80
38.89681,-77.02329,2020,01,13,    2.83,    6.60,    4.21,    9.64,    1.35
38.89681,-77.02329,2020,01,14,    1.76,    6.44,    4.75,    8.77,    1.64
38.89681,-77.02329,2020,01,15,    0.04,    8.06,    4.59,   13.25,    2.61
38.89681,-77.02329,2020,01,16,    0.03,    7.04,    0.36,    9.85,    6.77
38.89681,-77.02329,2020,01,17,    0.02,   -1.08,   -4.05,    2.35,    4.56
38.89681,-77.02329,2020,01,18,    5.67,   -0.30,   -3.24,    3.10,    4.64
38.89681,-77.02329,2020,01,19,    0.22,    0.94,   -4.48,    4.17,    5.53
38.89681,-77.02329,2020,01,20,    0.02,   -3.62,   -5.73,    0.57,    5.01
38.89681,-77.02329,2020,01,21,    0.00,   -3.49,   -6.39,    1.18,    3.64
38.89681,-77.02329,2020,01,22,    0.00,   -2.22,   -7.00,    3.27,    1.79
38.89681,-77.02329,2020,01,23,    0.00,   -0.48,   -3.38,    3.09,    1.51
38.89681,-77.02329,2020,01,24,    1.40,    2.84,   -1.63,    7.42,    3.59
38.89681,-77.02329,2020,01,25,   29.98,    6.09,    0.44,   11.52,    3.51
38.89681,-77.02329,2020,01,26,    0.15,    2.17,   -1.77,    8.36,    3.28
38.89681,-77.02329,2020,01,27,    0.00,    2.45,   -1.71,    9.08,    3.51
38.89681,-77.02329,2020,01,28,    0.00,    2.32,   -1.81,    7.71,    3.89
38.89681,-77.02329,2020,01,29,    0.00,    0.91,   -2.45,    6.66,    3.14
38.89681,-77.02329,2020,01,30,    0.00,   -0.78,   -3.11,    3.72,    2.33
38.89681,-77.02329,2020,01,31,    0.26,    1.37,   -2.58,    6.28,    1.40
